Date,gold_ATR,gold_ATR_norm,silver_ATR,silver_ATR_norm
2017-11-30,14.716222222222198,0.011461310546275229,0.32874444444444373,0.019366026725975725
2017-12-26,14.63819999999997,0.011599603756142544,0.31406555555555465,0.0195491420333271
2018-01-17,15.46724444444444,0.011725326310151904,0.35641999999999974,0.020842712424562083
2018-02-05,17.17531111111111,0.01280744702603034,0.4308577777777772,0.025166059532609943
2018-02-22,14.70717777777779,0.011049483192959451,0.2948677777777775,0.017799277541301697
2018-03-12,13.169200000000005,0.009944157156129771,0.25702222222222193,0.015552815710887645
2018-03-29,15.737088888888906,0.011851081305978438,0.27104444444444303,0.01648181305295259
2018-04-18,13.018844444444433,0.009726195846689349,0.3338777777777771,0.020166374803661607
2018-05-08,12.81797777777781,0.009705153419189478,0.25298888888888815,0.015214397815783922
2018-05-28,9.514711111111126,0.007305689168760027,0.20613888888888826,0.0124707946831893
2018-06-14,10.739866666666646,0.00827605518297929,0.3099722222222212,0.018607032172548266
2018-07-03,10.64053333333333,0.008432033179725604,0.23528888888888788,0.014486261908854868
2018-07-22,12.310244444444473,0.009896065255106461,0.24501111111111015,0.015475446978599948
2018-08-08,13.360444444444465,0.010972713617056932,0.26492777777777693,0.017179180258183
2018-08-27,14.162044444444422,0.011833251794500413,0.28747222222222163,0.019295910885038733
2018-09-17,11.932822222222223,0.00995343435614712,0.22776666666666603,0.01590609576272506
2018-10-05,14.567555555555552,0.012164927130039133,0.25822777777777706,0.017937202307794487
2018-10-23,12.312288888888906,0.010133419743476823,0.25912222222222164,0.017743261966760883
2018-11-11,12.23977777777779,0.009977858309419827,0.2798666666666658,0.019264063344992737
2018-11-29,9.907066666666655,0.008133459784777065,0.22915555555555459,0.01602446829253123
2018-12-18,10.72419999999996,0.008641831481063482,0.2278066666666659,0.015643460477542948
2019-01-08,10.609488888888885,0.008322710941482979,0.22608666666666585,0.014823133230144
2019-01-28,11.619200000000024,0.009016478670271853,0.25442222222222155,0.016439346190116992
2019-02-14,12.61895555555557,0.009612579196256306,0.3050444444444432,0.0193778824234612
2019-03-04,13.025911111111112,0.00986928223525285,0.3095777777777765,0.019766968280020985
2019-03-21,12.921822222222211,0.00994225450645186,0.2475444444444436,0.016230077433981065
2019-04-08,10.742399999999975,0.008265393482496093,0.2223611111111103,0.014587295806823015
2019-04-26,9.502177777777767,0.007403919767192215,0.21774999999999897,0.014547774675749765
2019-05-13,11.094711111111119,0.008648710956659315,0.23291666666666583,0.01575652734542325
2019-05-31,14.375911111111122,0.011191211920328396,0.22936111111111024,0.015815674233746142
2019-06-19,23.02253333333332,0.017232695743404167,0.2874333333333322,0.019298636317399923
2019-07-07,24.422000000000015,0.017353850747088263,0.2856444444444437,0.01870608070796299
2019-07-26,24.22497777777778,0.017093098908345556,0.3583944444444437,0.022666446394738363
2019-08-14,26.133911111111154,0.017832691617681203,0.4026611111111104,0.024113730255285452
2019-09-02,23.771066666666655,0.01565657687757381,0.6052722222222213,0.03416887661338708
2019-09-20,22.68111111111111,0.01505591645545848,0.5841144444444435,0.03216848940881739
2019-10-09,20.471022222222235,0.013618170871749345,0.41524111111111,0.02342864632965945
2019-10-28,16.56168888888887,0.011090344481183394,0.39569222222222106,0.02249141816973653
2019-11-15,14.837777777777799,0.00998209873514737,0.32703444444444374,0.018738929479990247
2019-12-03,12.562533333333331,0.008576668013453656,0.2819288888888876,0.016559414382581045
2019-12-20,15.242844444444412,0.010355251043622121,0.2858377777777765,0.016926094759738584
2020-01-15,17.236044444444442,0.011244344774001892,0.5851211111111099,0.032583256604504514
2020-02-04,17.746799999999993,0.011328585047728636,0.48239666666666614,0.027374341672706883
2020-02-25,38.922,0.024283501386669855,0.6987066666666666,0.038878131287532106
2020-03-17,69.13635555555555,0.04280650141079644,1.1869555555555553,0.07373199091353351
2020-04-03,43.14475555555555,0.027523555075676526,0.6002044444444437,0.044585053972974166
2020-04-23,33.45604444444442,0.01983802859660321,0.4333377777777771,0.028572565345661653
2020-05-11,22.836755555555545,0.01337826505406688,0.4626388888888882,0.030414388280008423
2020-05-29,24.348844444444413,0.014097261824729113,0.5527122222222214,0.03291477552562847
2020-06-14,20.52568888888888,0.011969440236137135,0.3750933333333327,0.021193392729835673
2020-06-30,17.195644444444422,0.009814551081274627,0.45934333333333205,0.02598669074132917
2020-07-17,22.575911111111118,0.012556730359009893,0.9189422222222219,0.04901688947038519
2020-08-01,40.033111111111104,0.02097520399184758,1.8512755555555553,0.08153090864238582
2020-08-16,51.999466666666656,0.026116663259288516,1.8873011111111109,0.07103267326198537
2020-09-02,31.417822222222206,0.01607739539507265,0.9531799999999998,0.03509100417664531
2020-09-21,31.019644444444438,0.015980977264520455,1.220841111111112,0.04551206679042971
2020-10-08,27.58773333333333,0.014630671527223279,1.0286133333333336,0.04362450060140437
2020-10-26,26.391377777777745,0.013836330638258669,1.060862222222223,0.04319913335253875
2020-11-11,36.15182222222226,0.0190519699870059,0.9532900000000002,0.039355565642907486
2020-11-30,31.78457777777781,0.017284931737231297,0.8929000000000004,0.03754380949009677
2020-12-20,31.52542222222225,0.017039751615849835,0.9098577777777782,0.037106210162223194
2021-01-08,35.977555555555575,0.01901147019718298,1.05193,0.039926105055706276
2021-01-28,27.636311111111112,0.01494465307467261,1.1255155555555558,0.04419003328893649
2021-02-15,27.497022222222235,0.015041459906735425,0.85115,0.031154544269282738
2021-03-04,29.137999999999995,0.01648501490657452,0.9448444444444448,0.03497035036718261
2021-03-21,21.406977777777737,0.012401757647562383,0.7061744444444448,0.027179382495363218
