Date,eth_ATR,eth_ATR_norm,btc_ATR,btc_ATR_norm
2017-12-08,32.62167083111111,0.0713259208042416,716.7221873955549,0.061847229439450285
2017-12-23,62.75332530666667,0.09132889593932328,1882.5984222177767,0.11308037291211154
2018-01-07,90.0670765777778,0.10917602524338679,1834.8662153911098,0.12235623222946121
2018-01-22,143.25615307555557,0.1261782314116788,1536.6277910399995,0.11952394772174708
2018-02-06,141.36905082666667,0.1428422832023058,1249.30171664,0.12637715398185673
2018-02-21,118.7762028711111,0.13602712947986137,1044.1583072933333,0.11158735331146535
2018-03-08,52.739912995555535,0.06312176050576797,782.0569944311115,0.07462021851829995
2018-03-23,53.76317856000001,0.08980558960431684,748.1976171511113,0.08578214849707913
2018-04-07,41.792609066666664,0.09921546822068017,529.1825694444448,0.07150581041887545
2018-04-22,31.54305243555557,0.06332212418854281,413.99134539111145,0.052955020364647956
2018-05-07,45.491404333333364,0.06444225978448975,429.8299935911114,0.04596136792281923
2018-05-22,49.85761727111114,0.07054353315504824,394.59686422222245,0.04611750131262474
2018-06-06,41.99029919111113,0.07213092257458568,324.70695526666685,0.04331605995743501
2018-06-21,31.30634192000003,0.05924661218104709,254.10555331111135,0.037359013786213216
2018-07-06,29.837205706666694,0.06536625669278165,272.4081790488892,0.04312084483260937
2018-07-21,23.196382888888923,0.050268882633290074,240.01491312000016,0.03545540418523997
2018-08-05,21.528932520000037,0.048196263860688406,303.96633231555586,0.03909266320574632
2018-08-20,21.57145449333337,0.06906110495519421,326.4841211422225,0.05088106311522365
2018-09-04,19.070432146666707,0.06726723825836989,244.76368708444488,0.0356963841941346
2018-09-19,17.225570364444483,0.08319342315866118,212.61297530666704,0.033083354663223416
2018-10-04,17.32490073777781,0.07566376497374419,168.25334856000032,0.025492544637533393
2018-10-19,10.025086804444477,0.04730731954722558,127.59635651555584,0.01961402578195041
2018-11-03,6.081347537777809,0.029996164975338142,110.8889237244447,0.01721161218263266
2018-11-18,5.6734975911111425,0.02913282472046235,108.32530819555573,0.017992432677952783
2018-12-03,12.317927644444477,0.10352365648042293,333.7884960755558,0.08071569204387817
2018-12-18,8.874091031111147,0.09535969361553004,274.0596419822226,0.07807856873674474
2019-01-02,10.472422657777814,0.08046080782258941,216.10322496444482,0.05566528901200543
2019-01-17,10.667734000000038,0.07710151876078396,151.13849053333374,0.03971839027408735
2019-02-01,6.042708048888931,0.0523490912024097,93.68143215111152,0.026200580112115575
2019-02-16,4.208862333333376,0.036237236306136955,69.2479515644448,0.01937956959516214
2019-03-03,6.87264374666671,0.049034826727275785,96.24307622666703,0.024733034640370702
2019-03-18,6.10359589777782,0.04480382287301976,88.4618934311114,0.022543897104710834
2019-04-02,3.6742979644444835,0.026050486183026828,68.37308909333366,0.01650372254231676
2019-04-17,8.504455720000044,0.05067879114884894,193.96412123111148,0.03776219470215961
2019-05-02,6.710239648888934,0.04077338116703563,147.435827035556,0.027582338783153373
2019-05-17,9.275591613333377,0.0466819524307508,256.24926668888924,0.03699779612931693
2019-06-01,19.449089648888933,0.07563528208096072,499.1866407288891,0.061001126953426105
2019-06-16,14.204580200000038,0.05620295356758308,373.4216905422228,0.04574241337423829
2019-07-01,14.523560222222262,0.04872395634517828,571.1958942311115,0.05232912647527738
2019-07-16,21.942620577777816,0.08009884145717522,1051.6214670533334,0.0930346161470131
2019-07-31,18.245749173333376,0.08388028372671294,791.045998351111,0.0787394000689347
2019-08-15,9.330944897777824,0.043719954690402386,466.94838548888896,0.04205055720641634
2019-08-30,9.913825844444487,0.05302005627059672,512.150785466667,0.05017463912103627
2019-09-14,7.178079657777819,0.04038251328546335,351.97874542222223,0.0341964084021222
2019-09-29,8.905035640000046,0.04742713519434404,274.1578210088888,0.029790371844236545
2019-10-14,10.094060764444487,0.05588004549033518,322.6490341599998,0.038891546363916486
2019-10-29,7.489914333333379,0.04238684129997224,273.58641921333344,0.03214449640672928
2019-11-13,7.877235244444491,0.042326661217989274,384.7257009599998,0.04208824625168956
2019-11-28,6.438524293333377,0.04012373982620345,269.2250065866665,0.03491444938586254
2019-12-13,7.132952382222262,0.047835872403853376,336.8100477466667,0.04538627035559745
2019-12-28,5.411663613333376,0.04162946792692737,243.4789278711112,0.03377250318798181
2020-01-12,5.439915693333378,0.03966170442150005,239.47510196888902,0.03140625382615014
2020-01-27,7.7868567155555946,0.04692238370393547,293.5350890088889,0.03388717419324046
2020-02-11,8.125499302222265,0.04048242369606909,276.7353104933333,0.028855237154786145
2020-02-26,16.89148884444449,0.06459364909799474,315.4419791111111,0.03234108836471639
2020-03-12,16.914857088888926,0.08303674329007485,345.7616101911113,0.043411316128999476
2020-03-27,20.571677284444483,0.16099013619800948,729.8471397333334,0.12325500087380084
2020-04-11,9.22981739555559,0.06365743455260828,407.70964839999994,0.0609687871576407
2020-04-26,9.792842453333364,0.055931068413743804,277.6452366488887,0.0390471637792433
2020-05-11,9.806296800000032,0.047751879992351524,337.82664068888863,0.037779287241657446
2020-05-26,10.074706977777813,0.04950972935679972,476.57581163111115,0.05137946729873401
2020-06-10,10.251795662222248,0.043086024924149716,352.9805425555557,0.03656003313175203
2020-06-25,8.953422053333362,0.038233990062576294,271.2607552666664,0.028793252939774618
2020-07-10,7.750035822222254,0.033361531733573355,211.01427095111106,0.02294948103197994
2020-07-25,6.961497768888916,0.02788099309790699,152.49613703555545,0.01640199121770627
2020-08-09,18.337886288888914,0.04970364536055191,378.13816837333314,0.03323462465798613
2020-08-24,22.7281916266667,0.05536145008695646,430.8210243555554,0.03656562344933872
